（｀・ω・´）$了解	（｀・ω・´）$困惑
(´;ω;｀)#p$悲しい	(´;ω;｀)#p$悲しい
･(･Д･)$悲しい	･(･Д･)$困惑
＼(≧U≦)/$嬉しい	＼(≧U≦)/$恥ずかしい
ｷﾀ━(ﾟ∀ﾟ)━!!$嬉しい	ｷﾀ━(ﾟ∀ﾟ)━!!$驚き
|ω-*)$困惑	|ω-*)$驚き
ヾ(`・ω・´)ﾉ$了解	ヾ(`・ω・´)ﾉ$了解
(ﾟДﾟ)ｺﾞﾙｧ!!$怒り	(ﾟДﾟ)ｺﾞﾙｧ!!$怒り
(●ﾟ∀ﾟ)$了解	(●ﾟ∀ﾟ)$嬉しい
ヽ(*ﾟдﾟ)ノｵｶ$怒り	ヽ(*ﾟдﾟ)ノｵｶ$了解
(・∀・)ロ$渡す	(・∀・)ロ$嬉しい
(´-Α-)$不満	(´-Α-)$不満
(゜-゜)っ$渡す	(゜-゜)っ$驚き
(´∀｀)ノシ$悲しい	(´∀｀)ノシ$悲しい
(っ´∇｀)っ$嬉しい	(っ´∇｀)っ$渡す
(*・ω・｀*)$嬉しい	(*・ω・｀*)$決意
(･o･)!!$驚き	(･o･)!!$驚き
（ヽ´ω｀）$_	（ヽ´ω｀）$嬉しい
＼(゜Д゜)$驚き	＼(゜Д゜)$驚き
((´･ω･)$寂しい	((´･ω･)$嬉しい
。(´ω`)$寂しい	。(´ω`)$悲しい
(〃⌒ー⌒〃)！$困惑	(〃⌒ー⌒〃)！$困惑
∑(ﾟ∀ﾟlll)$驚き	∑(ﾟ∀ﾟlll)$驚き
Ψ(^ω^)$嬉しい	Ψ(^ω^)$嬉しい
Σ(￣□￣;$驚き	Σ(￣□￣;$驚き
(。・ω・。)！$驚き	(。・ω・。)！$驚き
～ヾ(´∀｀)ﾉ$了解	～ヾ(´∀｀)ﾉ$了解
(｡•‿•｡)ノ$了解	(｡•‿•｡)ノ$困惑
